Form,Loss on testing set,MSE on testing set,Thetas after fit,Alpha
x1p2 x2p4 x3p3,8605.500918145082,17211.001836290165,"[628248.9731880823, 91161.60867753968, -12026.86357199672, -34688.693848504714, 34048.225830763586, 14686.858824652745, -3052.979361412264, -542.1471262514476, -146.59510180527946, -1.5479972815581742]",0.005
x1p2 x2p4 x3p4,8606.813108669465,17213.62621733893,"[628248.8398703752, 91161.60806275062, -12026.793240449571, -34688.75880217104, 34048.703733222406, 14686.893254749617, -3053.1214965399317, -542.1483160482642, -147.65695726879235, -1.5433528515149821, 0.4969680327167075]",0.005
x1p3 x2p1 x3p1,429832304.0686285,859664608.137257,"[656254.9032560925, 91484.17711190153, -12299.171485972995, -68.14843008237858, -4592.846328173925, -641.0389644202814]",0.005
x1p3 x2p1 x3p2,429908172.5105104,859816345.0210208,"[656501.2090956222, 91486.70677448527, -12299.47177272633, -69.17077969745021, -4594.396416208953, -643.5928916622311, -247.23401514059725]",0.005
x1p3 x2p1 x3p3,430156867.2636406,860313734.5272812,"[656501.7489690215, 91479.8232414751, -12300.717477078393, -65.85741921999225, -4595.223075361994, -1199.0351430870176, -243.92610951611098, 311.51475195284644]",0.005
x1p3 x2p1 x3p4,430609797.7557778,861219595.5115556,"[656140.375433947, 91470.93015124586, -12303.55519423972, -61.22683461837527, -4596.037837629578, -1198.4421246569443, 1004.2597643365604, 308.71621354799305, -494.7047487541517]",0.005
x1p3 x2p2 x3p1,85190966.69156261,170381933.38312522,"[629824.2473966061, 91201.75757953084, -12065.217124973664, -18.73123948771427, -4984.962383554072, 26261.156999959603, -513.1520568303389]",0.005
x1p3 x2p2 x3p2,85184708.28774208,170369416.57548416,"[629976.0044849988, 91203.3163618707, -12065.40535046011, -19.360183503814184, -4985.908560054902, 26260.739256735225, -514.7232898092718, -151.9069438957565]",0.005
x1p3 x2p2 x3p3,85225560.58108734,170451121.16217467,"[629974.6273015711, 91206.04174412429, -12064.899636020333, -20.675830250222866, -4985.596929101635, 26261.89012509683, -293.8004527171956, -153.21842632754198, -123.89940320338135]",0.005
x1p3 x2p2 x3p4,85284326.61762783,170568653.23525566,"[630102.6849441413, 91209.21172511662, -12063.802551444343, -22.333712116523802, -4985.330066496391, 26263.73488969331, -293.95109241813503, -602.7563097804705, -122.92032384667333, 178.24527015292736]",0.005
x1p3 x2p3 x3p1,3515464.513677857,7030929.027355714,"[630501.630174802, 91180.45830730833, -11996.209675957496, -10.584743149679088, -33589.147476989434, 25404.748883739798, 14058.35542383395, -554.9953505686915]",0.005
x1p3 x2p3 x3p2,3502614.924487197,7005229.848974394,"[630637.3322579983, 91181.85247305816, -11996.378713520015, -11.14726233016379, -33589.69660221509, 25404.384207950043, 14058.209456923843, -556.3999947256211, -135.84312503335053]",0.005
x1p3 x2p3 x3p3,3505604.452490116,7011208.904980232,"[630636.9535396723, 91182.58823936319, -11996.24296374545, -11.502422134539637, -33589.30808373005, 25404.703922959947, 14058.059843230978, -496.77594633906654, -136.197244507292, -33.438503480768006]",0.005
x1p3 x2p3 x3p4,3512683.0291403267,7025366.058280653,"[630681.0812396375, 91183.67771115295, -11995.835957778896, -12.072468635545242, -33588.70082149971, 25405.378601429635, 14057.80672143385, -496.8238624536609, -291.61870183218235, -33.101175757358625, 61.66147772980933]",0.005
x1p3 x2p4 x3p1,17035.135635625284,34070.27127125057,"[628102.9576763354, 91158.0360823229, -12026.67114393583, 1.7730930499495192, -34687.945933667164, 34047.14170080673, 14686.91716492256, -3052.462383251558, -543.3844371189392]",0.005
x1p3 x2p4 x3p2,8602.54173980046,17205.08347960092,"[628248.961826353, 91159.53645387875, -12026.858713767855, 1.1683015928095914, -34688.73038638227, 34048.25669157455, 14686.869434335202, -3052.9950870273306, -544.8980275297923, -146.57541697627514]",0.005
x1p3 x2p4 x3p3,8608.803088747929,17217.606177495858,"[628248.9540110574, 91159.57034828555, -12026.852354196251, 1.1519343310270125, -34688.70812518762, 34048.23668915791, 14686.86003733842, -3052.9828338126526, -542.1586015190221, -146.59164413747322, -1.5363594688037576]",0.005
x1p3 x2p4 x3p4,8610.065636606932,17220.131273213865,"[628248.8021592526, 91159.56060177177, -12026.781596796816, 1.156287918123836, -34688.774028990316, 34048.7187285796, 14686.894915973047, -3053.126315717595, -542.1599481588478, -147.60086466607996, -1.5317012439926079, 0.4766624467444912]",0.005
x1p4 x2p1 x3p1,430081545.5866576,860163091.1733152,"[655970.9113571721, 91484.16380065672, -11313.328749710736, -69.60755375273015, -396.6828281889887, -4593.833391200756, -640.4171523430849]",0.005
x1p4 x2p1 x3p2,430152176.61993784,860304353.2398757,"[656216.8194482144, 91486.66417071907, -11321.481958932487, -70.60598279641933, -393.49893666776495, -4595.359677299275, -642.9491235278566, -244.61926099617378]",0.005
x1p4 x2p1 x3p3,430411730.87317944,860823461.7463589,"[656213.3564258944, 91479.68472185952, -11308.932893166093, -67.26702229920319, -399.05826721348603, -4596.211330188552, -1206.0736092405346, -241.23007585859298, 315.82712652000595]",0.005
x1p4 x2p1 x3p4,430870758.70818657,861741517.4163731,"[655846.6088420167, 91470.71203416068, -11302.685408782445, -62.60857200689859, -402.5883651852002, -4597.040606560952, -1205.5490901712867, 1014.4512619471273, 313.05683380768073, -497.53892105200305]",0.005
x1p4 x2p2 x3p1,85198121.02279928,170396242.04559857,"[629775.9973476414, 91201.74665955552, -11897.95715893617, -18.972863292147427, -67.18055362351294, -4985.129539755527, 26260.945428415092, -513.0483664140096]",0.005
x1p4 x2p2 x3p2,85191437.03742321,170382874.07484642,"[629928.4381247334, 91203.29677360339, -11902.688433442052, -19.591171944668833, -65.32777470607424, -4986.068681211497, 26260.55460913474, -514.6168627196345, -151.36721857079135]",0.005
x1p4 x2p2 x3p3,85231589.2959907,170463178.5919814,"[629928.6296157191, 91206.00678221772, -11907.598032764387, -20.89135662453491, -63.14886274292703, -4985.753600691701, 26261.708522015044, -294.9307950189765, -152.6850537900424, -123.20894168404628]",0.005
x1p4 x2p2 x3p4,85289753.36764775,170579506.7352955,"[630053.967321854, 91209.1157052657, -11904.171102124476, -22.521279308371945, -63.94955509503975, -4985.494167066026, 26263.64916431211, -295.09892776290627, -597.5819163217012, -122.22667351421617, 176.5427824415696]",0.005
x1p4 x2p3 x3p1,3515524.344970256,7031048.689940512,"[630502.2963969787, 91180.4444182449, -11999.986454277434, -10.57144058190377, 1.6667976444190657, -33589.14506602061, 25404.834537557916, 14058.354167975853, -554.9982566801597]",0.005
x1p4 x2p3 x3p2,3502704.7897849767,7005409.5795699535,"[630638.9600116962, 91181.83438045009, -12004.153331917618, -11.125935608237889, 3.299960110654986, -33589.694906378725, 25404.49455291685, 14058.210487575043, -556.4043256974231, -135.73784053457942]",0.005
x1p4 x2p3 x3p3,3505706.4948710003,7011412.989742001,"[630639.002394271, 91182.57075578654, -12005.480679824426, -11.479210294097404, 3.889192467318973, -33589.30716446221, 25404.817175715347, 14058.061987839777, -496.7159912221094, -136.09595474541942, -33.476269869351626]",0.005
x1p4 x2p3 x3p4,3512658.668174123,7025317.336348246,"[630680.2302389431, 91183.60336721198, -12001.514597229478, -12.025320566985627, 2.5942279170128653, -33588.704094179455, 25405.588179287766, 14057.806950061793, -496.79033747310115, -287.48518984711166, -33.129071345619145, 60.20168820261991]",0.005
x1p4 x2p4 x3p1,17036.969817953504,34073.93963590701,"[628101.8894106699, 91158.01619518103, -12025.454780818804, 1.7821024797618645, -0.3165145198815323, -34688.05429106972, 34047.938283703654, 14686.971849027428, -3052.698931182011, -543.3832056042486]",0.005
x1p4 x2p4 x3p2,8613.886855417391,17227.773710834783,"[628248.7930475692, 91159.51032315938, -12029.837143552533, 1.1866215214801255, 1.4022992891316444, -34688.8636704985, 34049.2366085658, 14686.939428213975, -3053.2832889408132, -544.8976102429081, -146.42200654314007]",0.005
x1p4 x2p4 x3p3,8620.399968271446,17240.79993654289,"[628248.799942223, 91159.544069857, -12029.887814962773, 1.170420015857228, 1.4256049369139294, -34688.84179126178, 34049.21843816388, 14686.930257973381, -3053.271534649156, -542.1479268831306, -146.43822271152465, -1.543626353172646]",0.005
x1p4 x2p4 x3p4,8610.19230420041,17220.38460840082,"[628244.5615386461, 91159.4610180936, -12024.658914539867, 1.2047386637776083, -0.48218695740355005, -34689.05698814282, 34050.751821556136, 14687.039819926165, -3053.7326020975447, -542.1919573148772, -142.47373722465534, -1.5201632407175816, -1.324156565063285]",0.005
x1*x2 x3,4583522131.40721,9167044262.81442,"[643814.6026535492, 1666.9045868662886, -111.85522629852512]",0.005
x1*x3 x2,4560946439.017751,9121892878.035501,"[643845.1229617035, 211.3809952852141, -4777.998957293783]",0.005
x1 x2*x3,490370342.014779,980740684.029558,"[643924.4223125894, 91365.55437559738, 327.2165851742227]",0.005
x1*x2*x3,4579334534.651597,9158669069.303194,"[643820.4866348165, 1250.500555609309]",0.005
